tick,employed_households(Über Haushalte),BeschäftigteLeute(über Unternehmen),openPositions,durchschnittsgehalt,durchschnittspreis,durchschnittsinventar,gesamtNachfrageLetzterMonat,geplanterMonatlicherKonsum(Haushalte),allUnternehmenMoney,allHaushalteMoney,allMoney
21.0,0,0,0,1.0,1.0,0.0,745691.7569597766,117740.80373049637,100.0,199900.0,200000.0
42.0,100,100,0,1.0,1.0076441245664847,0.0,730077.7158898129,117740.75293127653,5441.278272659015,194558.72172733903,199999.99999999805
63.0,200,200,0,1.0,1.0145290577172599,0.0,689875.7930301775,116751.23948367682,10772.019581334396,189227.98041866478,199999.99999999919
84.0,300,300,0,1.0,1.0210307172148172,0.0,670137.1839622575,115889.06912211356,16834.550374018498,183165.4496259804,199999.9999999989
105.0,400,400,0,1.0,1.0280567149993134,0.0,625167.7199952146,115017.26004296323,22324.599504108544,177675.40049589032,199999.99999999886
126.0,500,500,0,1.0,1.0357664525690928,0.0,606553.3019356558,114133.8153001648,28416.624596058435,171583.37540394062,199999.99999999907
147.0,600,600,0,1.0,1.044585042071331,0.0,564432.6441626933,113152.39513810132,34200.881735658724,165799.11826433998,199999.99999999872
168.0,700,700,0,1.0,1.053086071224412,0.0,535149.0579075443,112098.17180224709,40442.77948117144,159557.2205188277,199999.99999999913
189.0,800,800,0,1.0,1.061230298650531,0.0,494757.3641086137,111052.57333322545,46452.655991696556,153547.34400830226,199999.9999999988
210.0,900,900,0,1.0,1.0687610713534357,0.0,461976.0516303575,110054.91390375764,52615.26158660491,147384.73841339443,199999.99999999933
231.0,999,999,1,1.0,1.077681273267077,0.0,424951.62951876374,109128.35427536754,58727.96370402586,141272.03629597303,199999.9999999989
252.0,1000,1000,100,1.0001053359712053,1.0851053756694058,0.0,417780.7109706882,108087.92123619502,59808.251747978895,140191.7482520199,199999.99999999878
273.0,1000,1000,137,1.0096226508458241,1.0936021966665097,0.0,413836.0101537824,107322.405506999,60413.92582670685,139586.07417329215,199999.999999999
294.0,1000,1000,100,1.0191313271603726,1.1015186150470162,0.0,408385.6880361486,106469.97888201698,60711.86219427182,139288.13780572722,199999.99999999904
315.0,1000,1000,100,1.0281498364779118,1.111030657233571,0.0,404746.3468135548,105668.17528593671,61271.25031609066,138728.7496839083,199999.99999999895
336.0,1000,1000,100,1.0387709457240604,1.1194415443036072,0.0,399872.21457485965,104730.88825529661,61760.334522425306,138239.66547757352,199999.99999999884
357.0,1000,1000,100,1.0488404491899042,1.127849545647647,0.0,392944.78995063866,103915.51171896223,62193.99419475089,137806.00580524802,199999.9999999989
378.0,1000,1000,100,1.0584972132038262,1.1355741865158064,0.0,389035.53020035994,103083.05432873568,62533.02386177095,137466.97613822814,199999.9999999991
399.0,1000,1000,100,1.0684652665633019,1.1429889407403573,0.0,385868.27866110636,102350.41277896041,62935.45759039041,137064.5424096086,199999.999999999
420.0,1000,1000,100,1.078827790721943,1.1514509130822013,0.0,383234.24907725496,101639.3521636009,63168.776765832234,136831.22323416657,199999.9999999988
441.0,1000,1000,100,1.0891622240891337,1.1609452013148591,0.0,375723.16489797906,100826.98595052451,63831.83296686912,136168.16703312984,199999.99999999895
462.0,1000,1000,100,1.0993111183111048,1.1710174266801412,0.0,373357.1580164131,99889.60866052206,64191.942209901,135808.05779009816,199999.99999999916
483.0,1000,1000,101,1.1083779859554748,1.1790007367528785,0.0,366328.8852150462,98955.52728333557,64718.1224775903,135281.87752240858,199999.9999999989
504.0,1000,1000,100,1.118746128302464,1.187886327898118,0.0,362487.3965550314,98173.41340076954,65067.535626270736,134932.46437372826,199999.999999999
