Tick,Zentralbankzins,Realzins,Investition,Konsum,Staatsausgaben,Aktive Kerdite,Kredit Anfragen,Anzahl Unternehmen
1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,10.0
2,0.02,0.01,19774.831999999995,79099.32800000001,9084.408603840002,7.0,10.0,10.0
3,0.02,0.0,3633.763441536,32703.870973824003,0.0,7.0,10.0,10.0
4,0.02,-0.01,-1510.4393542699745,16614.832896969707,0.0,3.0,16.0,10.0
5,0.02,-0.02,-1510.4393542699745,16614.832896969707,0.0,3.0,16.0,10.0
6,0.02,-0.03,-2250.1346004630286,9750.583268673123,281.49615944487783,4.0,14.0,10.0
7,0.02,-0.04,-889.1000110307073,3111.8500386074757,279.36198801432937,2.0,18.0,10.0
8,0.02,-0.05,-889.1000110307073,3111.8500386074757,279.36198801432937,2.0,18.0,10.0
9,0.02,-0.060000000000000005,-843.3385204866247,2248.9027212976653,44.092863386997905,1.0,18.0,10.0
10,0.02,-0.07,0.0,0.0,0.0,1.0,19.0,10.0
11,0.02,-0.08,-7.959535069178358,17.908953905651305,0.0,1.0,19.0,10.0
12,0.02,-0.09,-223.67745581916446,472.2079622849028,62.13262661643459,1.0,19.0,10.0
13,0.02,-0.09999999999999999,-223.67745581916446,472.2079622849028,0.0,1.0,19.0,10.0
14,0.02,-0.10999999999999999,-147.00610578779725,280.64802014034024,0.0,1.0,19.0,10.0
15,0.02,-0.11999999999999998,-91.95515493181782,168.5844507083327,0.0,1.0,19.0,10.0
16,0.02,-0.12999999999999998,-65.60184154192888,116.06479657418186,0.0,1.0,19.0,10.0
17,0.02,-0.13999999999999999,-65.60184154192888,116.06479657418186,0.0,1.0,19.0,10.0
18,0.02,-0.15,0.0,0.0,0.0,1.0,19.0,10.0
19,0.02,-0.16,-35.31181651317101,57.3817018339029,5.344501317182821,1.0,19.0,10.0
20,0.02,-0.17,-28.229006403459984,44.834304287848205,0.0,1.0,19.0,10.0
21,0.02,-0.18000000000000002,-28.229006403459984,44.834304287848205,0.0,1.0,19.0,10.0
22,0.02,-0.19000000000000003,-29.475516208886525,45.850802991601256,0.0,1.0,19.0,10.0
23,0.02,-0.20000000000000004,-19.434429679440065,29.15164451916009,0.0,1.0,19.0,10.0
24,0.02,-0.21000000000000005,-16.54254844475522,24.419952466067226,0.0,1.0,19.0,10.0
25,0.02,-0.22000000000000006,-13.94677983638716,20.286225216563142,1.2792323473700795,1.0,19.0,10.0
26,0.02,-0.23000000000000007,-13.22701003324521,18.977883960743124,2.2954381326962574,1.0,19.0,10.0
27,0.02,-0.24000000000000007,-9.755575539131309,13.82039868043602,0.9192482854904606,1.0,19.0,10.0
28,0.02,-0.25000000000000006,-9.556110662814511,13.378554927940316,0.955611066281451,1.0,19.0,10.0
29,0.02,-0.26000000000000006,-9.556110662814511,13.378554927940316,0.955611066281451,1.0,19.0,10.0
30,0.02,-0.2700000000000001,-11.048407208574943,15.140409878417511,0.0,1.0,19.0,10.0
31,0.02,-0.2800000000000001,-8.79000347964098,11.929290436655615,1.5303380698695617,1.0,19.0,10.0
32,0.02,-0.2900000000000001,-10.423181596193169,14.017382146604602,0.0,1.0,19.0,10.0
33,0.02,-0.3000000000000001,-10.423181596193169,14.017382146604602,0.8575818960650439,1.0,19.0,10.0
34,0.02,-0.3100000000000001,-13.398570410728635,17.720689898060446,0.0,1.0,19.0,10.0
35,0.02,-0.3200000000000001,0.0,0.0,0.8694509272118568,1.0,19.0,10.0
36,0.02,-0.3300000000000001,-12.624427463116163,16.450011542848333,0.0,1.0,19.0,10.0
37,0.02,-0.34000000000000014,-16.326072951028994,21.127859113096342,1.2004465405168374,1.0,19.0,10.0
38,0.02,-0.35000000000000014,-16.326072951028994,21.127859113096342,0.0,1.0,19.0,10.0
39,0.02,-0.36000000000000015,-16.45358425187228,21.154608323835788,1.0552113639391927,1.0,19.0,10.0
40,0.02,-0.37000000000000016,-19.29006084087778,24.50359079787177,2.5435786170865433,1.0,19.0,10.0
41,0.02,-0.38000000000000017,-19.916615510633072,25.299484567560928,0.0,1.0,19.0,10.0
42,0.02,-0.3900000000000002,-28.817177883607044,36.206197853762696,0.0,1.0,19.0,10.0
43,0.02,-0.4000000000000002,0.0,0.0,1.9972856279386035,1.0,19.0,10.0
44,0.02,-0.4100000000000002,-31.95657004701767,39.94571255877209,0.0,1.0,19.0,10.0
45,0.02,-0.4200000000000002,-50.9518830021533,63.0832837169517,0.0,1.0,19.0,10.0
